id,sensor1_raw,sensor1_voltage,sensor2_raw,sensor2_voltage,device_timestamp,server_timestamp
1750602809_7323,428,0.345,2953,2.379,1050255,"2025-06-22 14:33:29"
1750602814_3016,417,0.336,2946,2.373,1055482,"2025-06-22 14:33:34"
1750602819_3409,413,0.333,2960,2.385,1060708,"2025-06-22 14:33:39"
1750602824_4779,429,0.346,2900,2.336,1065935,"2025-06-22 14:33:44"
1750602830_1465,421,0.339,2896,2.333,1071161,"2025-06-22 14:33:50"
1750602835_1918,409,0.33,2909,2.344,1076387,"2025-06-22 14:33:55"
1750602840_7446,433,0.349,2885,2.324,1081614,"2025-06-22 14:34:00"
1750602845_2341,415,0.334,2928,2.359,1086840,"2025-06-22 14:34:05"
1750602850_6057,416,0.335,2887,2.326,1092067,"2025-06-22 14:34:10"
1750602856_9169,426,0.343,2907,2.342,1097293,"2025-06-22 14:34:16"
1750602861_5720,399,0.321,2912,2.346,1102520,"2025-06-22 14:34:21"
1750602866_3577,424,0.342,2874,2.315,1107746,"2025-06-22 14:34:26"
1750602871_7545,423,0.341,2893,2.331,1112973,"2025-06-22 14:34:31"
1750602877_4961,409,0.33,2912,2.346,1118199,"2025-06-22 14:34:37"
1750602882_3610,431,0.347,2886,2.325,1123426,"2025-06-22 14:34:42"
1750602887_8736,422,0.34,2907,2.342,1128652,"2025-06-22 14:34:47"
1750602892_9433,407,0.328,2915,2.349,1133879,"2025-06-22 14:34:52"
1750602897_3599,435,0.35,2933,2.363,1139105,"2025-06-22 14:34:57"
1750602903_5078,428,0.345,2929,2.36,1144332,"2025-06-22 14:35:03"
1750602908_6525,412,0.332,2927,2.358,1149558,"2025-06-22 14:35:08"
1750602913_4117,437,0.352,2909,2.344,1154785,"2025-06-22 14:35:13"
1750602918_6283,433,0.349,2888,2.327,1160011,"2025-06-22 14:35:18"
1750602924_9054,411,0.331,2896,2.333,1165237,"2025-06-22 14:35:24"
1750602929_4624,435,0.35,2913,2.347,1170464,"2025-06-22 14:35:29"
1750602934_4218,434,0.35,2901,2.337,1175690,"2025-06-22 14:35:34"
1750602939_2894,414,0.334,2931,2.361,1180917,"2025-06-22 14:35:39"
1750602945_8459,426,0.343,3027,2.439,1186143,"2025-06-22 14:35:45"
1750602950_6220,594,0.479,2236,1.801,1191370,"2025-06-22 14:35:50"
1750602955_8199,746,0.601,2737,2.205,1196596,"2025-06-22 14:35:55"
1750602960_9181,392,0.316,2529,2.038,1201823,"2025-06-22 14:36:00"
1750602965_3514,407,0.328,1669,1.345,1207049,"2025-06-22 14:36:05"
1750602971_4145,725,0.584,1562,1.258,1212276,"2025-06-22 14:36:11"
1750602976_4258,605,0.487,2510,2.022,1217502,"2025-06-22 14:36:16"
1750602981_3538,636,0.512,2799,2.255,1222729,"2025-06-22 14:36:21"
1750602986_7022,691,0.557,2413,1.944,1227955,"2025-06-22 14:36:26"
1750602992_8851,677,0.545,2659,2.142,1233182,"2025-06-22 14:36:32"
1750602997_6910,700,0.564,2489,2.005,1238408,"2025-06-22 14:36:37"
1750603002_6373,687,0.553,2518,2.029,1243634,"2025-06-22 14:36:42"
1750603007_7804,701,0.565,2481,1.999,1248861,"2025-06-22 14:36:47"
1750603012_4711,646,0.52,2461,1.983,1254088,"2025-06-22 14:36:52"
1750603018_3934,636,0.512,2499,2.013,1259314,"2025-06-22 14:36:58"
1750603023_3929,682,0.549,2570,2.071,1264540,"2025-06-22 14:37:03"
1750603028_6536,666,0.537,2553,2.057,1269767,"2025-06-22 14:37:08"
1750603033_2179,626,0.504,2550,2.054,1274993,"2025-06-22 14:37:13"
1750603039_7472,596,0.48,2552,2.056,1280220,"2025-06-22 14:37:19"
1750603044_6209,633,0.51,2561,2.063,1285446,"2025-06-22 14:37:24"
1750603049_7625,616,0.496,2548,2.053,1290673,"2025-06-22 14:37:29"
